Identifier,Romana,Engleza,Ucrainieana,Rusa
en,Engleză,English,Англійська,Английский
ro,Română,Romanian,Румунська ,Румынский
ua,Ucraineană,Ukraine,Українська,Украинский
ru,Rusă,Russian,Російська,Русский
source.code,Codul sursă,Source code ,Вихідний код,Исходный код
homepage.option_one,Vreau să ofer ajutor,I want to help,Я хочу допомогти,Я хочу помочь
homepage.option_two,Am o solicitare,I have a request,У мене є прохання,У меня есть запрос
homepage.title,Centralizare oferte asistență umanitară,Humanitarian Assistance Centralisation,Централізація пропозиції гуманітарної допомоги ,Централизация гуманитарной помощи
homepage.subtitle,Prin completarea acestui formular vei contribui la o coordonare eficientă a tuturor resurselor oferite.,By Completing This Form You Will Contribute To Efficient Coordination Of All Resources Offered,"Заповнивши цю форму, ви зробити свій внесок для ефективної координації всіх наданих ресурсів","Заполнив эту форму, вы внесете свой вклад в эффективную координацию всех предлагаемых ресурсов"
homepage.get_all_info_you_need,Află toate informațiile de care ai nevoie pe,Find out all the information you need on ,Вся необхідна інформація на ,Узнайте всю необходимую информацию на 
hero.title,Platformă integrată de management de resurse și solicitări,Integrated resource and demand management platform ,Інтегрована платформа управління ресурсами та попитом,Интегрированная платформа управления ресурсами и спросом.
hero.subtitle_one,"Platforma Sprijin de Urgențâ este un sistem integrat de management al resurselor pe care societatea civilă și toate persoanele fizice și juridice le pot aduce împreună pentru a ajuta în situații critice. În funcție de nevoile curente, alege una dintre variantele de mai jos.","The Sprijin de Urgență Platform is an integrated resource management system that the civil society and all individuals and legal entities can bring together in order to help in critical situations. Depending on your current needs, choose one of the options below.","Платформа підтримки надзвичайних ситуацій – це інтегрована система управління ресурсами, яку громадянське суспільство та всі фізичні та юридичні особи можуть об’єднати, щоб допомогти у критичних ситуаціях. Залежно від ваших поточних потреб оберіть один із наведених нижче варіантів.","Платформа поддержки в чрезвычайных ситуациях – это интегрированная система управления ресурсами, которую гражданское общество и все физические и юридические лица могут объединить, чтобы помочь в критических ситуациях. В зависимости от ваших текущих потребностей, выберите один из следующих вариантов."
hero.subtitle_two,Sprijin de Urgență este un proiect dezvoltat de Code for Romania pentru Departamentul de Situații de Urgență pentru administrarea de resurse și nevoi în momente de criză.,Sprijin de Urgență is a project developed by Code for Romania for the Department of Emergency Situations for managing resources and needs in times of crisis. ,"Надзвичайна підтримка – це проект, розроблений Кодексом Румунії для Департаменту надзвичайних ситуацій для управління ресурсами та потребами під час кризи.","Чрезвычайная поддержка – проект, разработанный Code for Romania для Департамента по чрезвычайным ситуациям с целью управления ресурсами и потребностями во время кризисных ситуаций."
cta.offer_stay.heading_one,Am unul sau mai multe spații de cazare disponibile.,I have one or more accommodations available.,В мене є один або більше варіантів розміщення. ,У меня есть одно или несколько мест для проживания.
cta.offer_stay.heading_two,Cum le pot pune la dispoziție?,How can I make them available? ,Як я можу зробити їх доступними?,Как я могу сделать их доступными?
